message_id,message,verdict,scam_type,risk_level,evidence,requested_action,language,category,confidence,source,contains_url,contains_phone,asks_for_otp,asks_for_upi_pin,asks_for_money,impersonates_authority,urgency,processed_message
IND-04843,Important hai: The government has announced 5 lakh permanent jobs for anyone who forwards this message.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,HINGLISH,MISINFORMATION,0.84,synthetic_augmented,0,0,0,0,0,1,MEDIUM,important hai: the government has announced 5 lakh permanent jobs for anyone who forwards this message.
IND-02292,"For Aadhaar services, use the official UIDAI website or authorised centre. Never share OTP with anyone. For security, never share OTP.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Aadhaar,0.94,public_dataset_derived,0,0,1,0,0,1,LOW,"for aadhaar services, use the official uidai website or authorised centre. never share otp with anyone. for security, never share otp ."
IND-04451,Drinking hot water with turmeric completely prevents viral infections. Share with everyone.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,ENGLISH,MISINFORMATION,0.88,synthetic_augmented,0,0,0,0,0,0,MEDIUM,drinking hot water with turmeric completely prevents viral infections. share with everyone.
IND-01916,Your interview is scheduled for Monday at 11 AM. Please use the employer's official recruitment portal for details. Please verify through the official app.,legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Employment,0.95,public_dataset_derived,0,0,0,0,0,0,LOW,your interview is scheduled for monday at 11 am. please use the employer's official recruitment portal for details. please verify through the official app.
IND-00401,Turant check karein: Your parcel is held at customs. Pay ₹499 clearance charges immediately at http://parcel-fee.example.,scam,COURIER_FRAUD,HIGH,Unexpected parcel/customs fee; payment request or link,PAY_FEE,HINDI_ROMAN,Courier,0.95,synthetic_augmented,1,0,0,0,1,1,HIGH,turant check karein: your parcel is held at customs. pay ₹499 clearance charges immediately at URLTOKEN
IND-01293,"Please dhyan do, Supreme Court cyber team here. You are under digital arrest due to money laundering. Transfer ₹50,000 for verification.",scam,DIGITAL_ARREST,CRITICAL,Authority impersonation; intimidation; payment demand,PAY_OR_TRANSFER,HINGLISH,Law enforcement,0.9,synthetic_augmented,0,0,0,0,1,1,HIGH,"please dhyan do, supreme court cyber team here. you are under digital arrest due to money laundering. transfer ₹50,000 for verification."
IND-04392,IRCTC is giving free train tickets to anyone who registers through this forwarded WhatsApp form.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,ENGLISH,MISINFORMATION,0.9,synthetic_augmented,0,0,0,0,0,1,MEDIUM,irctc is giving free train tickets to anyone who registers through this forwarded whatsapp form.
IND-01506,Your interview is scheduled for Monday at 11 AM. Please use the employer's official recruitment portal for details. Check the official portal for details.,legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Employment,0.96,public_dataset_derived,0,0,0,0,0,0,LOW,your interview is scheduled for monday at 11 am. please use the employer's official recruitment portal for details. check the official portal for details.
IND-04401,Sabko forward karein: From tomorrow all UPI transactions will have a mandatory 50% government tax. Forward this urgently.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,HINDI_ROMAN,MISINFORMATION,0.94,synthetic_augmented,0,0,0,0,0,1,HIGH,sabko forward karein: from tomorrow all upi transactions will have a mandatory 50% government tax. forward this urgently.
IND-01175,"Turant check karein: CBI officer here. A money laundering case is registered against your Aadhaar. Transfer ₹20,000 for verification.",scam,POLICE_IMPERSONATION,CRITICAL,Threat of arrest/case; demands money,PAY_OR_TRANSFER,HINDI_ROMAN,Law enforcement,0.91,public_dataset_derived,0,0,0,0,1,1,HIGH,"turant check karein: cbi officer here. a money laundering case is registered against your aadhaar. transfer ₹20,000 for verification."
IND-01354,"Sir, Scholarship registration closes today. Pay ₹199 processing charges immediately.",scam,SCHOLARSHIP_SCAM,HIGH,Scholarship claim requires fee/bank details,PAY_FEE,HINGLISH,Education,0.94,public_dataset_derived,0,0,0,0,1,0,CRITICAL,"sir, scholarship registration closes today. pay ₹199 processing charges immediately."
IND-03632,"Guys, Someone claiming to be police contacted me on WhatsApp and demanded money. I am checking whether it is legitimate.",suspicious,POLICE_IMPERSONATION,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINGLISH,UNVERIFIED_COMMUNICATION,0.85,synthetic_augmented,0,0,0,0,0,1,HIGH,"guys, someone claiming to be police contacted me on whatsapp and demanded money. i am checking whether it is legitimate."
IND-02482,Guys kal project review 4 baje lab mein hai. Please bring your laptop. Check the official portal for details.,legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,HINGLISH,College,0.94,public_dataset_derived,0,0,0,0,0,0,LOW,guys kal project review 4 baje lab mein hai. please bring your laptop. check the official portal for details.
IND-01430,Your tax refund cannot be processed. Share your bank account and OTP immediately for verification.,scam,TAX_REFUND_SCAM,HIGH,Fake refund plus PAN/bank/OTP request,SHARE_DETAILS,ENGLISH,Tax,0.89,public_dataset_derived,0,0,1,0,0,1,CRITICAL,your tax refund cannot be processed. share your bank account and otp immediately for verification.
IND-03913,Mujhe ek message mila hai: This message says I won a shopping voucher but asks me to pay a small fee first. Has anyone verified it?,suspicious,LOTTERY_SCAM,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINDI_ROMAN,UNVERIFIED_COMMUNICATION,0.9,synthetic_augmented,0,0,0,0,1,0,MEDIUM,mujhe ek message mila hai: this message says i won a shopping voucher but asks me to pay a small fee first. has anyone verified it?
IND-02077,Your parcel has been shipped and is expected to arrive tomorrow. Track it using the courier company's official application. Check the official portal for details.,legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Courier,0.91,public_dataset_derived,0,0,0,0,0,0,LOW,your parcel has been shipped and is expected to arrive tomorrow. track it using the courier company's official application. check the official portal for details.
IND-01837,"For Aadhaar services, use the official UIDAI website or authorised centre. Never share OTP with anyone.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,Aadhaar,0.93,public_dataset_derived,0,0,1,0,0,1,LOW,"for aadhaar services, use the official uidai website or authorised centre. never share otp with anyone."
IND-02892,Your UPI refund of ₹499 has been processed. Check your bank statement or official app for confirmation. Check the official portal for details.,legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,UPI,0.91,public_dataset_derived,0,0,0,0,1,1,LOW,your upi refund of ₹499 has been processed. check your bank statement or official app for confirmation. check the official portal for details.
IND-02297,"Bhai ghar pahunch gaya hoon. Dinner ke baad call karta hoon. For security, never share OTP.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,HINGLISH,Family,0.94,public_dataset_derived,0,0,1,0,0,0,LOW,"bhai ghar pahunch gaya hoon. dinner ke baad call karta hoon. for security, never share otp ."
IND-01954,Your UPI refund of ₹499 has been processed. Check your bank statement or official app for confirmation. Please verify through the official app.,legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,UPI,0.95,public_dataset_derived,0,0,0,0,1,1,LOW,your upi refund of ₹499 has been processed. check your bank statement or official app for confirmation. please verify through the official app.
IND-03990,Kripya check karein: A message says my social media account will close and gives an unfamiliar login link. I haven't clicked it.,suspicious,ACCOUNT_TAKEOVER,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINDI_ROMAN,UNVERIFIED_COMMUNICATION,0.82,synthetic_augmented,0,0,0,0,0,0,MEDIUM,kripya check karein: a message says my social media account will close and gives an unfamiliar login link. i haven't clicked it.
IND-00347,Turant check karein: Your Aadhaar is linked to a criminal investigation. Do not disconnect. Pay the security deposit immediately.,scam,DIGITAL_ARREST,CRITICAL,Authority impersonation; intimidation; payment demand,PAY_OR_TRANSFER,HINDI_ROMAN,Law enforcement,0.89,synthetic_augmented,0,0,0,0,1,1,HIGH,turant check karein: your aadhaar is linked to a criminal investigation. do not disconnect. pay the security deposit immediately.
IND-00752,"Bhai, Your verification OTP has been generated. Send the OTP here so we can stop the unauthorized transaction.",scam,OTP_THEFT,HIGH,Requests one-time password; suspicious verification,SHARE_OTP,HINGLISH,Banking,0.94,synthetic_augmented,0,0,1,0,0,0,HIGH,"bhai, your verification otp has been generated. send the otp here so we can stop the unauthorized transaction."
IND-00304,"Bhai, Your FASTag will be blocked tonight. Recharge ₹500 immediately through this link.",scam,FASTAG_SCAM,HIGH,KYC/recharge/blacklist threat plus payment/link,PAY_OR_UPDATE,HINGLISH,Transport,0.96,synthetic_augmented,0,0,0,0,1,0,HIGH,"bhai, your fastag will be blocked tonight. recharge ₹500 immediately through this link."
IND-00241,Bahut zaroori hai: Loan verification requires an advance payment of ₹799 and PAN/Aadhaar on WhatsApp.,scam,LOAN_SCAM,HIGH,Loan promise with advance processing fee,PAY_FEE,HINDI_ROMAN,Loans,0.97,public_dataset_derived,0,0,0,0,1,1,CRITICAL,bahut zaroori hai: loan verification requires an advance payment of ₹799 and pan/aadhaar on whatsapp.
IND-04139,"No income tax return is required for anyone earning below a certain salary, regardless of other income.",misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,ENGLISH,MISINFORMATION,0.77,synthetic_augmented,0,0,0,0,0,1,HIGH,"no income tax return is required for anyone earning below a certain salary, regardless of other income."
IND-04157,Bhai sabko bhejo: IRCTC is giving free train tickets to anyone who registers through this forwarded WhatsApp form.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,HINGLISH,MISINFORMATION,0.81,synthetic_augmented,0,0,0,0,0,1,MEDIUM,bhai sabko bhejo: irctc is giving free train tickets to anyone who registers through this forwarded whatsapp form.
IND-02835,"Your UPI refund of ₹499 has been processed. Check your bank statement or official app for confirmation. For security, never share OTP.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,ENGLISH,UPI,0.94,public_dataset_derived,0,0,1,0,1,1,LOW,"your upi refund of ₹499 has been processed. check your bank statement or official app for confirmation. for security, never share otp ."
IND-01449,"Bhai, Your ₹5 lakh loan is approved. Send ₹999 insurance charges to release the amount today.",scam,LOAN_SCAM,HIGH,Loan promise with advance processing fee,PAY_FEE,HINGLISH,Loans,0.97,public_dataset_derived,0,0,0,0,1,0,CRITICAL,"bhai, your ₹5 lakh loan is approved. send ₹999 insurance charges to release the amount today."
IND-00530,"Bahut zaroori hai: Student scholarship selected. Send Aadhaar and bank details on WhatsApp to release ₹10,000.",scam,SCHOLARSHIP_SCAM,HIGH,Scholarship claim requires fee/bank details,PAY_FEE,HINDI_ROMAN,Education,0.92,public_dataset_derived,0,0,0,0,1,1,HIGH,"bahut zaroori hai: student scholarship selected. send aadhaar and bank details on whatsapp to release ₹10,000."
IND-03511,Kripya check karein: A parcel-fee message came from an unknown number and asks for ₹499 through a link. Is it genuine?,suspicious,COURIER_FRAUD,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINDI_ROMAN,UNVERIFIED_COMMUNICATION,0.8,synthetic_augmented,0,0,0,0,1,0,MEDIUM,kripya check karein: a parcel-fee message came from an unknown number and asks for ₹499 through a link. is it genuine?
IND-00888,"Your electricity connection will be disconnected tonight due to unpaid bill. Pay ₹1,850 at http://power-pay.example.",scam,ELECTRICITY_SCAM,HIGH,Disconnection threat plus payment/link,PAY_BILL,ENGLISH,Utilities,0.91,synthetic_augmented,1,0,0,0,1,0,HIGH,"your electricity connection will be disconnected tonight due to unpaid bill. pay ₹1,850 at URLTOKEN"
IND-01805,"Aapka OTP 456789 hai. Kisi ke saath share mat karna. For security, never share OTP.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,HINGLISH,Banking,0.94,public_dataset_derived,0,0,1,0,0,0,LOW,"aapka otp 456789 hai. kisi ke saath share mat karna. for security, never share otp ."
IND-00221,"Turant check karein: Income Tax refund of ₹18,500 is pending. Confirm PAN, bank details and OTP at http://tax-refund.example.",scam,TAX_REFUND_SCAM,HIGH,Fake refund plus PAN/bank/OTP request,SHARE_DETAILS,HINDI_ROMAN,Tax,0.95,public_dataset_derived,1,0,1,0,1,1,HIGH,"turant check karein: income tax refund of ₹18,500 is pending. confirm pan, bank details and otp at URLTOKEN"
IND-02767,"Mummy, train mein baith gaya hoon. Safely pahunch jaunga.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,HINGLISH,Family,0.92,public_dataset_derived,0,0,0,0,0,1,LOW,"mummy, train mein baith gaya hoon. safely pahunch jaunga."
IND-00673,"Please dhyan do, Refund pending. To receive ₹1,499, enter your UPI PIN on the link http://refund-check.example.",scam,UPI_FRAUD,HIGH,Requests UPI PIN/payment; urgency,PAY_OR_SHARE_UPI,HINGLISH,UPI,0.97,synthetic_augmented,1,0,0,1,1,0,CRITICAL,"please dhyan do, refund pending. to receive ₹1,499, enter your upi pin on the link URLTOKEN"
IND-00427,Kripya dhyan dein: Your meter has been flagged. Pay the pending amount now or your connection will be terminated today.,scam,ELECTRICITY_SCAM,HIGH,Disconnection threat plus payment/link,PAY_BILL,HINDI_ROMAN,Utilities,0.9,synthetic_augmented,0,0,0,0,1,0,HIGH,kripya dhyan dein: your meter has been flagged. pay the pending amount now or your connection will be terminated today.
IND-04602,From tomorrow all UPI transactions will have a mandatory 50% government tax. Forward this urgently.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,ENGLISH,MISINFORMATION,0.88,synthetic_augmented,0,0,0,0,0,1,HIGH,from tomorrow all upi transactions will have a mandatory 50% government tax. forward this urgently.
IND-01966,"Bhai tera parcel aa gaya hai, main reception pe rakh raha hoon. Please verify through the official app.",legit,NONE,LOW,Normal transactional/personal communication; no malicious request,NONE,HINGLISH,Delivery,0.95,public_dataset_derived,0,0,0,0,0,0,LOW,"bhai tera parcel aa gaya hai, main reception pe rakh raha hoon. please verify through the official app."
IND-03276,Kripya check karein: Someone offered me a work-from-home job but wants a ₹500 joining fee first. I am unsure if it is genuine.,suspicious,JOB_SCAM,MEDIUM,"Potential fraud indicators present, but authenticity is not established",VERIFY_BEFORE_ACTION,HINDI_ROMAN,UNVERIFIED_COMMUNICATION,0.85,synthetic_augmented,0,0,0,0,1,0,HIGH,kripya check karein: someone offered me a work-from-home job but wants a ₹500 joining fee first. i am unsure if it is genuine.
IND-04191,Bhai sabko bhejo: Drinking hot water with turmeric completely prevents viral infections. Share with everyone.,misinformation,NONE,MEDIUM,Unverified or misleading claim; forwarding pressure or implausible assertion,VERIFY_SOURCE,HINGLISH,MISINFORMATION,0.93,synthetic_augmented,0,0,0,0,0,0,HIGH,bhai sabko bhejo: drinking hot water with turmeric completely prevents viral infections. share with everyone.
IND-01046,"Bhai, Scholarship registration closes today. Pay ₹199 processing charges immediately.",scam,SCHOLARSHIP_SCAM,HIGH,Scholarship claim requires fee/bank details,PAY_FEE,HINGLISH,Education,0.94,public_dataset_derived,0,0,0,0,1,0,HIGH,"bhai, scholarship registration closes today. pay ₹199 processing charges immediately."
IND-01217,"Income Tax refund of ₹18,500 is pending. Confirm PAN, bank details and OTP at http://tax-refund.example.",scam,TAX_REFUND_SCAM,HIGH,Fake refund plus PAN/bank/OTP request,SHARE_DETAILS,ENGLISH,Tax,0.98,synthetic_augmented,1,0,1,0,1,1,HIGH,"income tax refund of ₹18,500 is pending. confirm pan, bank details and otp at URLTOKEN"
